jobs,mode,completion,rpc,task_wait,task_resp,task_service
50,batch,58.1120,26.8740,0,19.0880,19.0880
100,batch,59.2280,27.0400,0,19.1980,19.1980
150,batch,59.1560,27.2520,0,19.1360,19.1360
200,batch,59.4980,27.0180,0,19.2280,19.2280
400,batch,58.8900,27.2480,0,19.0560,19.0560
600,batch,58.2920,26.8780,0,19.0560,19.0560
800,batch,58.6020,27.0040,0,19.0440,19.0440
1000,batch,58.4600,26.9120,0,19.0380,19.0380
50,late,58.2200,26.4120,8.0000,27.3060,19.3060
100,late,58.4540,26.9660,8.0000,27.0640,19.0640
150,late,58.5920,26.9900,8.0000,27.1280,19.1280
200,late,58.4360,27.0220,8.0000,26.8940,18.8940
400,late,58.3240,26.9800,8.0000,26.9980,18.9980
600,late,58.2880,27.0420,8.0000,27.0020,19.0020
800,late,58.4320,27.1360,8.0000,26.9420,18.9420
1000,late,58.1060,26.9880,8.0000,26.9360,18.9360
50,latepro,56.8880,36.0820,8.0000,26.4460,18.4460
100,latepro,57.7160,35.9640,8.0000,26.7540,18.7540
150,latepro,59.0360,36.1520,8.0000,27.1140,19.1140
200,latepro,58.8900,36.0600,8.0000,27.2120,19.2120
400,latepro,58.8240,35.9760,8.0000,27.2040,19.2040
600,latepro,58.4900,35.9440,8.0000,27.1100,19.1100
800,latepro,58.4100,35.9700,8.0000,27.0160,19.0160
1000,latepro,58.1560,35.9080,8.0000,26.9840,18.9840
