probe,mode,completion,rpc,task_wait,task_resp,task_service
1,batch,29.1940,8.9800,0,9.5160,9.5160
2,batch,28.8940,13.4450,0,9.4270,9.4270
3,batch,29.3410,18.0300,0,9.5080,9.5080
4,batch,29.1220,22.5180,0,9.4650,9.4650
6,batch,29.0380,31.5610,0,9.4570,9.4570
8,batch,29.0890,38.1380,0,9.4540,9.4540
10,batch,29.1790,42.0330,0,9.5250,9.5250
1,late,29.5780,9.0850,4.0000,13.5840,9.5840
2,late,28.6660,13.4200,4.0000,13.3820,9.3820
3,late,28.9420,17.9310,4.0000,13.4730,9.4730
4,late,29.5090,22.5860,4.0000,13.5910,9.5910
6,late,28.9810,31.3700,4.0000,13.5180,9.5180
8,late,29.1490,38.2330,4.0000,13.4530,9.4530
10,late,29.2150,41.9440,4.0000,13.5490,9.5490
1,latepro,29.0980,9.0540,4.0000,13.4980,9.4980
2,latepro,28.8610,18.0410,4.0000,13.4470,9.4470
3,latepro,28.9780,27.0590,4.0000,13.4380,9.4380
4,latepro,29.1400,36.3090,4.0000,13.4570,9.4570
6,latepro,29.0830,53.6390,4.0000,13.5040,9.5040
8,latepro,29.0200,66.9470,4.0000,13.4570,9.4570
10,latepro,29.1610,74.9180,4.0000,13.4980,9.4980
