workers,mode,completion,rpc,task_wait,task_resp,task_service
5,batch,29.1750,9.0530,0,9.5070,9.5070
10,batch,28.8400,11.9380,0,9.4100,9.4100
20,batch,29.2000,13.6140,0,9.4370,9.4370
40,batch,29.2400,13.4830,0,9.5080,9.5080
80,batch,29.2250,13.4800,0,9.5310,9.5310
5,late,31.4190,10.8950,3.3360,12.9420,9.6060
10,late,28.8650,11.9730,4.0000,13.3710,9.3710
20,late,29.5000,13.4780,4.0000,13.5920,9.5920
40,late,29.4450,13.5820,4.0000,13.5250,9.5250
80,late,29.2750,13.5880,4.0000,13.5070,9.5070
5,latepro,31.3860,11.6540,3.3250,12.8440,9.5200
10,latepro,29.0650,14.9450,4.0000,13.4590,9.4590
20,latepro,29.3350,17.9070,4.0000,13.5700,9.5700
40,latepro,29.3600,18.0890,4.0000,13.5200,9.5200
80,latepro,28.9000,17.8850,4.0000,13.3970,9.3970
